weight,height,label
53,126,fat
37,154,thin
45,171,thin
68,173,normal
48,167,thin
59,135,fat
54,183,thin
38,141,normal
80,134,fat
62,128,fat
69,164,fat
65,135,fat
77,145,fat
60,191,thin
73,144,fat
35,145,thin
71,143,fat
43,192,thin
36,166,thin
40,200,thin
38,165,thin
44,157,thin
58,196,thin
51,194,thin
43,178,thin
69,122,fat
37,150,thin
36,133,normal
63,163,normal
64,135,fat
38,153,thin
75,173,fat
77,164,fat
63,148,fat
53,155,normal
68,152,fat
53,170,thin
74,132,fat
56,173,normal
36,200,thin
56,187,thin
49,194,thin
78,122,fat
49,137,fat
80,195,normal
54,127,fat
66,189,thin
71,141,fat
73,180,normal
63,136,fat
37,123,normal
77,133,fat
36,160,thin
54,154,normal
55,166,normal
71,190,normal
48,180,thin
39,143,normal
73,132,fat
56,155,normal
52,146,normal
78,180,normal
35,148,thin
38,128,normal
68,151,fat
35,185,thin
43,125,fat
41,132,normal
45,146,normal
37,185,thin
62,155,fat
48,128,fat
35,186,thin
35,194,thin
63,154,fat
76,138,fat
54,197,thin
49,192,thin
52,141,fat
67,157,fat
79,190,normal
37,188,thin
48,164,thin
64,182,normal
76,139,fat
74,153,fat
44,185,thin
73,136,fat
50,175,thin
61,188,thin
42,186,thin
43,155,thin
75,187,normal
75,134,fat
60,190,thin
66,184,normal
71,123,fat
67,170,normal
79,175,fat
48,192,thin
45,166,thin
41,150,thin
71,142,fat
35,145,thin
56,200,thin
80,188,normal
75,132,fat
45,198,thin
43,159,thin
68,180,normal
51,126,fat
43,152,normal
61,159,normal
39,165,thin
44,163,thin
38,163,thin
62,188,thin
53,187,thin
62,168,normal
77,144,fat
47,129,fat
69,122,fat
49,192,thin
80,186,normal
71,197,thin
59,194,thin
38,174,thin
71,136,fat
65,151,fat
62,183,normal
37,128,normal
47,141,normal
80,197,normal
40,125,fat
50,145,normal
53,144,fat
76,134,fat
67,125,fat
65,165,normal
71,153,fat
64,174,normal
42,163,thin
41,175,thin
44,169,thin
74,191,normal
74,154,fat
77,158,fat
79,188,normal
38,197,thin
79,122,fat
46,156,normal
41,171,thin
64,153,fat
63,170,normal
68,158,fat
65,182,normal
52,122,fat
58,172,normal
71,149,fat
56,184,thin
55,196,thin
69,134,fat
70,129,fat
80,177,fat
38,200,thin
72,145,fat
63,191,thin
65,161,fat
46,181,thin
71,135,fat
41,130,normal
36,178,thin
45,123,fat
63,194,thin
45,180,thin
59,163,normal
58,145,fat
58,197,thin
48,157,normal
66,179,normal
58,157,normal
53,194,thin
60,132,fat
57,175,normal
60,134,fat
56,184,thin
76,121,fat
72,154,fat
68,161,fat
60,174,normal
64,133,fat
64,178,normal
55,128,fat
79,171,fat
80,159,fat
78,160,fat
50,148,normal
66,192,thin
72,124,fat
37,128,normal
48,173,thin
66,181,normal
49,127,fat
76,175,normal
64,158,fat
69,136,fat
71,136,fat
48,143,normal
79,155,fat
60,170,normal
68,186,normal
42,139,normal
57,125,fat
42,175,thin
36,178,thin
70,200,thin
43,138,normal
63,145,fat
53,141,fat
74,129,fat
68,126,fat
52,124,fat
59,188,thin
45,182,thin
56,166,normal
39,132,normal
42,176,thin
68,192,thin
76,180,normal
77,150,fat
74,127,fat
77,193,normal
70,167,fat
53,134,fat
54,196,thin
66,186,normal
58,163,normal
72,198,thin
46,151,normal
56,176,thin
79,147,fat
52,151,normal
79,154,fat
59,149,fat
70,126,fat
64,137,fat
53,142,fat
68,184,normal
48,187,thin
50,186,thin
42,177,thin
62,185,thin
54,142,fat
61,176,normal
62,158,normal
69,159,fat
64,148,fat
47,136,fat
60,173,normal
75,197,normal
54,200,thin
72,185,normal
67,177,normal
40,133,normal
70,193,normal
53,180,thin
66,134,fat
38,148,thin
57,135,fat
51,148,normal
46,181,thin
76,188,normal
36,179,thin
77,167,fat
79,179,normal
66,135,fat
40,200,thin
50,134,fat
79,124,fat
79,159,fat
67,148,fat
40,184,thin
71,193,normal
57,179,thin
77,175,fat
47,159,normal
43,130,fat
51,133,fat
75,127,fat
60,166,normal
54,168,normal
38,163,thin
52,189,thin
72,125,fat
39,164,thin
44,132,fat
64,152,fat
46,124,fat
52,168,thin
71,120,fat
53,177,thin
38,157,thin
56,169,normal
43,196,thin
44,153,normal
47,194,thin
35,194,thin
75,140,fat
49,158,normal
49,147,normal
49,154,normal
69,161,fat
56,125,fat
63,189,thin
41,174,thin
45,186,thin
50,123,fat
55,144,fat
69,140,fat
70,168,normal
73,162,fat
40,160,thin
69,179,normal
75,196,normal
51,156,normal
60,151,fat
53,177,thin
79,176,fat
39,183,thin
51,199,thin
70,158,fat
56,173,normal
46,124,fat
65,175,normal
52,191,thin
68,131,fat
68,195,thin
72,190,normal
80,189,normal
45,181,thin
37,198,thin
57,197,thin
68,165,normal
42,168,thin
62,130,fat
58,120,fat
42,159,thin
58,163,normal
42,138,normal
49,191,thin
54,157,normal
79,195,normal
71,134,fat
58,177,normal
74,183,normal
66,145,fat
35,198,thin
51,126,fat
69,160,fat
78,196,normal
75,198,normal
43,171,thin
63,186,thin
74,145,fat
63,200,thin
38,147,thin
40,144,normal
50,137,fat
55,176,thin
62,130,fat
44,132,fat
76,137,fat
41,178,thin
71,200,thin
69,183,normal
40,170,thin
37,160,thin
60,126,fat
35,155,thin
43,179,thin
53,183,thin
53,187,thin
78,189,normal
65,122,fat
52,122,fat
59,143,fat
54,195,thin
57,147,fat
48,193,thin
60,136,fat
67,128,fat
35,196,thin
69,145,fat
35,181,thin
64,176,normal
76,135,fat
65,177,normal
53,190,thin
61,168,normal
57,178,thin
58,166,normal
76,186,normal
40,172,thin
56,147,fat
66,195,thin
62,169,normal
42,160,thin
42,142,normal
80,171,fat
80,192,normal
37,153,thin
67,154,fat
53,192,thin
73,165,fat
41,156,thin
37,193,thin
54,130,fat
37,140,normal
59,197,thin
43,158,thin
50,125,fat
72,173,normal
47,127,fat
66,145,fat
41,195,thin
42,123,fat
73,131,fat
36,136,normal
50,138,fat
53,141,fat
63,162,normal
56,159,normal
39,168,thin
37,123,normal
60,179,normal
49,188,thin
70,165,fat
77,159,fat
57,174,normal
36,177,thin
48,129,fat
40,154,thin
45,159,thin
42,135,normal
73,162,fat
52,129,fat
35,176,thin
51,157,normal
64,120,fat
72,135,fat
55,132,fat
48,128,fat
78,198,normal
72,164,fat
45,125,fat
61,127,fat
43,158,thin
46,172,thin
43,141,normal
38,186,thin
43,197,thin
45,200,thin
77,194,normal
77,155,fat
62,143,fat
65,164,normal
68,200,thin
64,188,thin
38,192,thin
79,148,fat
49,182,thin
78,177,normal
75,163,fat
44,145,normal
77,139,fat
66,193,thin
53,126,fat
38,150,thin
79,189,normal
78,185,normal
46,125,fat
49,170,thin
74,182,normal
49,189,thin
74,180,normal
52,170,thin
35,145,thin
47,187,thin
43,133,normal
70,120,fat
78,178,normal
55,192,thin
66,141,fat
66,166,normal
74,185,normal
74,195,normal
76,166,fat
39,137,normal
60,135,fat
36,197,thin
59,184,thin
37,181,thin
57,171,normal
44,142,normal
40,143,normal
40,153,thin
61,126,fat
50,200,thin
55,164,normal
67,146,fat
57,132,fat
50,195,thin
65,143,fat
58,199,thin
59,157,normal
73,196,normal
55,137,fat
78,133,fat
58,197,thin
69,147,fat
37,131,normal
52,198,thin
63,133,fat
59,130,fat
74,124,fat
72,174,normal
37,137,normal
76,129,fat
39,148,thin
69,155,fat
63,160,normal
75,147,fat
42,164,thin
64,192,thin
45,126,fat
53,169,normal
55,160,normal
60,186,thin
43,146,normal
64,129,fat
61,186,thin
65,168,normal
43,199,thin
69,199,thin
71,194,normal
58,125,fat
58,172,normal
72,165,fat
70,173,normal
65,162,normal
79,187,normal
37,178,thin
61,128,fat
48,148,normal
75,187,normal
66,168,normal
69,156,fat
45,183,thin
55,141,fat
76,162,fat
46,164,thin
47,121,fat
40,125,fat
50,140,fat
38,136,normal
38,197,thin
47,142,normal
44,160,thin
57,193,thin
41,174,thin
41,134,normal
77,198,normal
46,152,normal
72,167,fat
42,161,thin
39,177,thin
56,128,fat
40,190,thin
59,160,normal
60,165,normal
72,182,normal
72,147,fat
61,167,normal
51,143,normal
48,128,fat
66,170,normal
40,144,normal
50,141,fat
46,139,normal
64,124,fat
75,146,fat
41,147,normal
47,186,thin
79,131,fat
80,193,normal
78,191,normal
51,168,thin
66,132,fat
58,196,thin
45,135,normal
35,130,normal
35,161,thin
47,190,thin
59,140,fat
55,174,thin
43,187,thin
53,142,fat
54,124,fat
42,152,thin
57,192,thin
50,187,thin
70,158,fat
70,188,normal
77,177,normal
54,191,thin
54,160,normal
50,134,fat
74,173,normal
38,168,thin
42,138,normal
64,122,fat
77,159,fat
70,192,normal
42,176,thin
37,132,normal
64,133,fat
43,158,thin
41,130,normal
76,147,fat
52,176,thin
79,184,normal
35,170,thin
60,169,normal
40,155,thin
74,140,fat
51,193,thin
60,191,thin
35,153,thin
65,151,fat
58,185,thin
56,139,fat
79,175,fat
43,185,thin
75,166,fat
57,191,thin
37,156,thin
64,165,normal
40,123,fat
43,177,thin
36,151,thin
72,157,fat
79,156,fat
43,191,thin
70,134,fat
52,124,fat
67,183,normal
40,170,thin
67,193,thin
66,126,fat
59,180,thin
74,188,normal
44,173,thin
66,162,fat
35,145,thin
36,179,thin
73,146,fat
67,174,normal
48,176,thin
59,155,normal
73,174,normal
43,155,thin
54,137,fat
71,187,normal
78,191,normal
42,154,thin
67,187,normal
49,180,thin
79,130,fat
54,181,thin
40,174,thin
54,183,thin
44,135,normal
57,163,normal
60,122,fat
48,185,thin
67,168,normal
78,138,fat
42,120,fat
40,182,thin
37,126,normal
68,127,fat
72,196,normal
65,170,normal
79,121,fat
58,172,normal
39,184,thin
48,181,thin
35,122,normal
68,181,normal
71,184,normal
74,159,fat
49,180,thin
52,141,fat
58,136,fat
47,142,normal
72,147,fat
46,175,thin
72,186,normal
41,144,normal
67,197,thin
80,170,fat
62,194,thin
76,145,fat
76,172,fat
36,165,thin
54,196,thin
36,198,thin
73,127,fat
80,138,fat
75,184,normal
61,149,fat
42,177,thin
46,196,thin
58,151,fat
55,165,normal
46,167,thin
79,199,normal
52,198,thin
42,158,thin
79,142,fat
51,133,fat
51,197,thin
41,158,thin
71,175,normal
61,147,fat
49,140,fat
59,164,normal
65,190,thin
47,162,thin
69,186,normal
47,144,normal
40,189,thin
38,148,thin
47,137,fat
67,185,normal
75,126,fat
44,163,thin
38,182,thin
65,182,normal
76,192,normal
61,153,fat
64,127,fat
59,156,normal
37,184,thin
75,171,fat
40,136,normal
57,188,thin
77,142,fat
69,172,normal
70,199,thin
59,130,fat
71,192,normal
57,190,thin
52,128,fat
52,141,fat
59,194,thin
67,182,normal
42,169,thin
52,200,thin
63,164,normal
62,175,normal
52,144,fat
51,123,fat
47,176,thin
47,177,thin
40,152,thin
78,194,normal
35,177,thin
63,143,fat
45,128,fat
54,131,fat
65,177,normal
61,135,fat
70,168,normal
67,120,fat
41,191,thin
75,172,fat
54,186,thin
79,145,fat
48,199,thin
59,145,fat
46,132,fat
70,195,thin
48,178,thin
68,150,fat
77,132,fat
40,139,normal
74,155,fat
60,152,fat
75,154,fat
62,195,thin
37,184,thin
37,138,normal
40,155,thin
74,163,fat
40,153,thin
69,139,fat
40,184,thin
58,136,fat
54,149,normal
68,191,normal
70,189,normal
79,134,fat
49,157,normal
35,145,thin
77,177,normal
48,176,thin
65,136,fat
61,200,thin
59,161,normal
63,126,fat
45,157,thin
64,198,thin
75,193,normal
41,123,fat
79,171,fat
80,164,fat
60,170,normal
69,196,thin
59,169,normal
72,160,fat
51,194,thin
55,194,thin
53,152,normal
79,152,fat
46,175,thin
59,145,fat
65,159,fat
40,186,thin
79,193,normal
55,148,fat
62,140,fat
54,145,fat
41,154,thin
50,166,thin
60,137,fat
64,125,fat
79,170,fat
76,132,fat
64,132,fat
75,154,fat
66,127,fat
49,163,thin
71,141,fat
67,131,fat
36,157,thin
53,179,thin
60,136,fat
73,156,fat
38,155,thin
62,139,fat
69,130,fat
54,123,fat
71,120,fat
38,148,thin
50,200,thin
49,178,thin
43,161,thin
57,158,normal
48,150,normal
55,200,thin
73,155,fat
63,138,fat
78,177,normal
62,151,fat
37,186,thin
68,179,normal
42,188,thin
39,148,thin
37,145,thin
46,126,fat
56,188,thin
42,152,thin
56,183,thin
51,194,thin
55,188,thin
55,190,thin
50,189,thin
51,130,fat
37,147,thin
51,192,thin
56,189,thin
44,188,thin
58,166,normal
79,169,fat
78,137,fat
72,146,fat
54,166,normal
41,146,normal
40,134,normal
68,126,fat
63,161,normal
74,198,normal
51,190,thin
